Product Title, Price,Parent Category,Sub Category,Product Tag,Short Description,Meta,Long Description,Product-Image-(Vincent-will-fill-in),Shoppers Value,Willow Grove,Main Street Bakery,Primary Store,Status
Pancake/Waffle Mix,3.56,All Groceries,Other,Shelf Stable,Aunt Jemima,,"Complete, Original, 32 ounce",/wp-content/uploads/2016/11/Shelf-aunt-jemima-pancake-waffle-mix.jpg,2.97,,,Shoppers Value,Published
Ground Coffee - Breakfast Blend,4.88,All Groceries,Beverage,Shelf Stable,Folgers,,"ground, breakfast blend, 10.8 ounce",/wp-content/uploads/2016/11/folgers-coffee-breakfast-blend.jpg,4.07,,,Shoppers Value,Published
Tea,1.96,All Groceries,Beverage,Shelf Stable,Lipton,,"black, bags, 20 count ",/wp-content/uploads/2016/11/LIPTON-BLACK-TEA-BAG-20ct,1.63,,,Shoppers Value,Published
Cola,1.18,All Groceries,Beverage,Shelf Stable,Pepsi,,"Cola, 2 liter",/wp-content/uploads/2016/11/Pepsi-regular.jpg,0.98,,,Shoppers Value,Published
Cola,1.15,All Groceries,Beverage,Shelf Stable,Coke,,"Cola, 2 liter",/wp-content/uploads/2016/11/coke.jpg,0.96,,,Shoppers Value,Published
Diet Cola,1.18,All Groceries,Beverage,Shelf Stable,Pepsi,,"Diet Cola, 2 liter",/wp-content/uploads/2016/11/pepsi-diet-copy.jpg,0.98,,,Shoppers Value,Published
Diet Cola,1.15,All Groceries,Beverage,Shelf Stable,Coke,,"Diet Cola, 2 liter",/wp-content/uploads/2016/11/coke-diet.jpg,0.96,,,Shoppers Value,Published
Water,4.31,All Groceries,Beverage,Shelf Stable,Nestle',,"16 ounce, 24 count",/wp-content/uploads/2016/11/Nestle-bottled-water.jpg,3.59,,,Shoppers Value,Published
Water,3.53,All Groceries,Beverage,Shelf Stable,Store Brand,,"16 ounce, 24 count",/wp-content/uploads/2016/11/bottle-water.jpg,2.94,,,Shoppers Value,Published
Plates,3.98,All Groceries,Paper Products,Shelf Stable,Chinet,,"10"" dinner, 15 count",/wp-content/uploads/2016/11/chinet-dinner-plates.jpg,3.32,,,Shoppers Value,Published
Towels,2.62,All Groceries,Paper Products,Shelf Stable,Bounty,,"full sheets, roll",/wp-content/uploads/2016/11/shelf-bounty-paper-towels.jpg,2.18,,,Shoppers Value,Published
Forks,1.01,All Groceries,Kitchen Ware,Shelf Stable,Store Brand,,24 count,/wp-content/uploads/2016/11/plastic_forks.jpg,0.84,,,Shoppers Value,Published
Spoons,1.01,All Groceries,Kitchen Ware,Shelf Stable,Store Brand,,24 count,/wp-content/uploads/2016/11/plastic-spoons.jpg,0.84,,,Shoppers Value,Published
Plastic Wrap,1.97,All Groceries,Kitchen Ware,Shelf Stable,Glad,,"cling wrap, 100 square feet",/wp-content/uploads/2016/11/GLAD-CLING-WRAP-100-SQ.FT_.jpg,1.64,,,Shoppers Value,Published
Aluminum Foil,2.05,All Groceries,Kitchen Ware,Shelf Stable,Reynolds,,30 ',/wp-content/uploads/2016/11/reynolds-aluminum-foil-30.jpg,1.71,,,Shoppers Value,Published
Baggies,2.76,All Groceries,Kitchen Ware,Shelf Stable,Ziploc,,"easy-open, quart sized, 20 count",/wp-content/uploads/2016/11/shelf-ziploc-bags.jpg,2.3,,,Shoppers Value,Published
Diapers - Size 1,14.63,All Groceries,Baby,Shelf Stable,Huggies,,"size 1, 35 count",/wp-content/uploads/2016/11/huggies-sz-1.jpg,12.19,,,Shoppers Value,Published
Diapers - Size 2,11.87,All Groceries,Baby,Shelf Stable,Huggies,,"size 2, 32 count ",/wp-content/uploads/2016/11/huggies-sz-2.jpg,9.89,,,Shoppers Value,Published
Diapers - Size 3,14.99,All Groceries,Baby,Shelf Stable,Huggies,,"size 3, 32 count",/wp-content/uploads/2016/11/huggies-sz-3.jpg,12.49,,,Shoppers Value,Published
Diapers - Size 4,11.87,All Groceries,Baby,Shelf Stable,Huggies,,"size 4, 29 count",/wp-content/uploads/2016/11/huggies-sz-4.jpg,9.89,,,Shoppers Value,Published
Diapers - Size 5,11.87,All Groceries,Baby,Shelf Stable,Huggies,,"size 5, 24 count",/wp-content/uploads/2016/11/huggies-sz-5.jpg,9.89,,,Shoppers Value,Published
Diapers - Size 1,13.19,All Groceries,Baby,Shelf Stable,Pampers,,"size 1, 35 count",/wp-content/uploads/2016/11/pampers-sz-1.jpg,10.99,,,Shoppers Value,Published
Diapers - Size 2,13.19,All Groceries,Baby,Shelf Stable,Pampers,,"size 2, 32 count",/wp-content/uploads/2016/11/papmers-sz-2.jpg,10.99,,,Shoppers Value,Published
Diapers - Size 3,13.32,All Groceries,Baby,Shelf Stable,Pampers,,"size 3, 32 count",/wp-content/uploads/2016/11/pampers-sz-3.jpg,11.1,,,Shoppers Value,Published
Diapers - Size 4,13.32,All Groceries,Baby,Shelf Stable,Pampers,,"size 4, 29 count",/wp-content/uploads/2016/11/Pampers-sz-4.jpg,11.1,,,Shoppers Value,Published
Diapers - Size 5,13.19,All Groceries,Baby,Shelf Stable,Pampers,,"size 5, 24 count",/wp-content/uploads/2016/11/papmers-sz-5.jpg,10.99,,,Shoppers Value,Published
Baby Wipes,3.19,All Groceries,Baby,Shelf Stable,Huggies,,"once and done, 56 count",/wp-content/uploads/2016/11/huggies-Baby-wipes.jpg,2.66,,,Shoppers Value,Published
Baby Wipes,1.06,All Groceries,Baby,Shelf Stable,Store Brand,,80 count,/wp-content/uploads/2016/11/baby-wipes.png,0.88,,,Shoppers Value,Published
Acetaminophen - Children's,7.96,All Groceries,"Baby,Child",Shelf Stable,PediaCare,,"acetaminophen, 4 ounce, grape",/wp-content/uploads/2016/11/pediacare-4-oz.jpg,6.63,,,Shoppers Value,Published
Ibuprofen - Children's,7.56,All Groceries,"Baby,Child",Shelf Stable,Advil,,"ibuprofen, 4 ounce, grape",/wp-content/uploads/2016/11/advil-4-oz.jpg,6.3,,,Shoppers Value,Published
Baby Cereal,3.3,All Groceries,Baby,Shelf Stable,Gerber,,"single grain, 8 ounce",/wp-content/uploads/2016/11/gerber-rice-8-oz.jpg,2.75,,,Shoppers Value,Published
Organic Baby Cereal,4.56,All Groceries,Baby,Shelf Stable,Gerber,,single grain/ organic,/wp-content/uploads/2016/11/Gerber-organic-oatmeal-cereal.jpg,3.8,,,Shoppers Value,Published
"Food Pouch - Apple, Peach, Strawberry",1.36,All Groceries,Baby,Shelf Stable,Beech Nut,,"apple, peach, strawberry, 4 ounce",/wp-content/uploads/2016/11/shelf-Beech-Nut-APS-fruitie.jpg,1.13,,,Shoppers Value,Published
Baby Formula,22.42,All Groceries,Baby,Shelf Stable,Similac,,"advance w/ iron, 12.4 ounce",/wp-content/uploads/2016/11/Similac-12.4-oz.jpg,18.68,,,Shoppers Value,Published
Fruit Juice,3.3,All Groceries,"Baby,Child",Shelf Stable,Capri Sun,,"fruit, 6 ounce, 10 count_",/wp-content/uploads/2016/11/fruit-punch.jpg,2.75,,,Shoppers Value,Published
Juice - Pacific Cooler,3.3,All Groceries,"Baby,Child",Shelf Stable,Capri Sun,,"pacific cooler, 6 ounce, 10 count",/wp-content/uploads/2016/11/cooler.jpg,2.75,,,Shoppers Value,Published
Applesauce,2.69,All Groceries,"Baby,Child",Shelf Stable,Motts,,"applesauce, original, 4 ounce, 6 count",/wp-content/uploads/2016/11/mott-org.jpg,2.24,,,Shoppers Value,Published
Applesauce,1.97,All Groceries,"Baby,Child",Shelf Stable,Store Brand,,"applesauce, original, 4 ounce, 6 count",/wp-content/uploads/2016/11/generic-apple-sauce.jpg,1.64,,,Shoppers Value,Published
Applesauce - Squeezable,2.56,All Groceries,"Baby,Child",Shelf Stable,Mussleman's,,"applesauce, squeezables, 3 ounce, 4 count",/wp-content/uploads/2016/11/MusselmanLogo_withApples1.jpg,2.13,,,Shoppers Value,Published
Applesauce - Unsweetened,2.56,All Groceries,"Baby,Child",Shelf Stable,Mussleman's,,"applesauce, unsweetened, squeezables, 3 ounce, 4 count",/wp-content/uploads/2016/11/musslemans-unsweetened-pouches.jpg,2.13,,,Shoppers Value,Published
Kids Yogurt - Strawberry-Banana & Watermelon,2.92,All Groceries,"Baby,Child","Shelf, Perishable",Go-Gurt,,"strawberry-banana & watermelon, 2.oz, 8 count",/wp-content/uploads/2016/11/gogurt-sbw.jpg,2.43,,,Shoppers Value,Published
Kids Yogurt - Berry / Strawberry,3.25,All Groceries,"Baby,Child","Shelf, Perishable",Go-Gurt,,"berry/ strawberry, 2 ounce, 8 count",/wp-content/uploads/2016/11/gogurt-sb.jpg,2.71,,,Shoppers Value,Published
Kids Yogurt - Raspberry,3.43,All Groceries,"Baby,Child","Shelf, Perishable",Danimals,,"raspberry, 3 ounce, 6 count",/wp-content/uploads/2016/11/danimals-rasp.jpg,2.86,,,Shoppers Value,Published
"Ground Beef, Willow Grove ",7.14,All Groceries,"Meat,Willow Grove Farm Market",Freezer,Willow Grove,farm raised,"ground, frozen, 1 pound",/wp-content/uploads/2016/11/fridge-WG-Ground-Beef.jpg,,5.95,,Willow Grove,Published
"Stew Beef, Willow Grove ",8.4,All Groceries,"Meat,Willow Grove Farm Market",Freezer,Willow Grove,farm raised,"stew, frozen, 1 pound",/wp-content/uploads/2016/11/freezer-WG-Stew-Beef.jpg,,7,,Willow Grove,Published
"Chuck Roast Beef, Willow Grove ",21.6,All Groceries,"Meat,Willow Grove Farm Market",Freezer,Willow Grove,farm raised,"chuck roast, frozen, 3 pound, approx.",/wp-content/uploads/2016/11/fridge-WG-Chuck-Roast.jpg,,18,,Willow Grove,Published
"Salmon, Willow Grove",13.2,All Groceries,"Seafood,Willow Grove Farm Market",Refrigerated,Willow Grove,farm raised,"antibiotic free, fresh, 1 pound",/wp-content/uploads/2016/11/fridge-WG-Fresh-Salmon.jpg,,11,,Willow Grove,Published
"Tuna, Willow Grove",10.5,All Groceries,"Seafood,Willow Grove Farm Market",Freezer,Willow Grove,,"steak, frozen, 10 ounce",/wp-content/uploads/2016/11/freezer-WG-Tuna-Steak.jpg,,8.75,,Willow Grove,Published
"Snapper, Willow Grove",7.2,All Groceries,"Seafood,Willow Grove Farm Market",Freezer,Willow Grove,,"filet, frozen, 8 ounce",/wp-content/uploads/2016/11/freezer-WG-Snapper-filet.jpg,,6,,Willow Grove,Published
"Shrimp, Willow Grove",16.8,All Groceries,"Seafood,Willow Grove Farm Market",Freezer,Willow Grove,,"gulf, frozen, 1 pound, 21-25 count",/wp-content/uploads/2016/11/freezer-WG-Gulf-Shrimp.jpg,,14,,Willow Grove,Published
"White Bread, Main Street Bakery",4,All Groceries,"Bakery,Main Street Bakery","Shelf, Perishable",Main Street Bakery,,"white, loaf",/wp-content/uploads/2016/11/msb-white.jpg,,,3,Main Street,Published
"Oatmeal Bread, Main Street Bakery",4.5,All Groceries,"Bakery,Main Street Bakery","Shelf, Perishable",Main Street Bakery,,"oatmeal, loaf",/wp-content/uploads/2016/11/MSB-bread-loaf.jpg,,,3.5,Main Street,Published
"Black Russian Bread, Main Street Bakery",5,All Groceries,"Bakery,Main Street Bakery","Shelf, Perishable",Main Street Bakery,,Russian Black_loaf,/wp-content/uploads/2016/11/msb-russian.jpg,,,4,Main Street,Published
"Cranberry Walnut Bread, Main Street Bakery",5,All Groceries,"Bakery,Main Street Bakery","Shelf, Perishable",Main Street Bakery,,Cranberry Walnut loaf,/wp-content/uploads/2016/11/msb-cranberry-walnut.jpg,,,4,Main Street,Published
"Pumpkin Cranberry Walnut Muffin, Main Street Bakery",3,All Groceries,"Bakery,Main Street Bakery","Shelf, Perishable",Main Street Bakery,,Pumpkin Cranberry Walnut,/wp-content/uploads/2016/11/MSB-Pump-cran-walnut-muffin.jpg,,,1.85,Main Street,Published
"Bagel, Main Street Bakery",7,All Groceries,"Bakery,Main Street Bakery","Shelf, Perishable",Main Street Bakery,,"Plain, 6 count",/wp-content/uploads/2016/11/MSB-bagel.jpg,,,5.65,Main Street,Published
Garlic Cloves,0.73,All Groceries,Produce,"Shelf, Perishable",Garlic Cloves,2 bulbs,"Garlic bulbs, Fresh World",/wp-content/uploads/2017/04/Garlic-Cloves.jpg,0.61,,,Shoppers Value,Published
Lemons,0.67,All Groceries,Produce,"Shelf, Perishable",Lemons,each,Lemon,/wp-content/uploads/2017/04/Lemons.jpg,0.56,,,Shoppers Value,Published
Lime,0.49,All Groceries,Produce,"Shelf, Perishable",Limes,each,Lime,/wp-content/uploads/2017/04/Limes.jpg,0.41,,,Shoppers Value,Published
Fuji Apple,1.97,All Groceries,Produce,"Shelf, Perishable",Apples,per pound,"Apple, Fuji",/wp-content/uploads/2016/11/fuji-apples.jpg,1.64,,,Shoppers Value,Published
Broccoli Crown,2.34,All Groceries,Produce,"Shelf, Perishable",Broccoli Crown,per pound,"Broccoli, Crown",/wp-content/uploads/2016/11/broccoli-crown.jpg,1.95,,,Shoppers Value,Published
5 Lettuce Salad Mix,3.28,All Groceries,Produce,"Shelf, Perishable",Fresh Express,6 oz,"Salad Mix, 5 Lettuce",/wp-content/uploads/2017/04/Fresh-Express-5-Lettuce-Mix.jpg,2.73,,,Shoppers Value,Published
Veggie Lovers Salad Mix,3.28,All Groceries,Produce,"Shelf, Perishable",Fresh Express,11 oz,"Salad Mix, Veggie Lovers",/wp-content/uploads/2017/04/Fresh-Express-Veggie-Lover's-Lettuce.jpg,2.73,,,Shoppers Value,Published
Cheeze-It Crackers,2.69,All Groceries,Snack,"Shelf, Stable",Sunshine,7 oz,"Crackers, Cheez-It",/wp-content/uploads/2017/04/Cheez-It-Baked-Snack-Crackers-Original.jpg,2.24,,,Shoppers Value,Published
Nabisco Saltine Crackers,3.68,All Groceries,Snack,"Shelf, Stable",Nabisco,16 oz,"Crackers, Saltines, Nabisco",/wp-content/uploads/2017/04/Nabisco-Original-Premium-Saltine-Crackers.jpg,3.07,,,Shoppers Value,Published
Saltine Crackers,1.69,All Groceries,Snack,"Shelf, Stable",store brand,16 oz,"Crackers, Saltines, Store Brand",/wp-content/uploads/2017/04/Saltine-Crackers-Store-Brand.jpg,1.41,,,Shoppers Value,Published
Ritz Crackers,4.62,All Groceries,Snack,"Shelf, Stable",Nabisco,13.7 oz,"Crackers, Ritz",/wp-content/uploads/2017/04/Nabisco-Ritz-Crackers.jpg,3.85,,,Shoppers Value,Published
Wheat Thins,4.27,All Groceries,Snack,"Shelf, Stable",Nabisco,9.1 oz,"Crackers, Wheat Thins, Original",/wp-content/uploads/2017/04/Wheat-Thins-Original-Crackers.jpg,3.56,,,Shoppers Value,Published
Triscuits,4.27,All Groceries,Snack,"Shelf, Stable",Nabisco,9 oz,"Crackers, Triscuits, Original",/wp-content/uploads/2017/04/Triscuit-Original-Crackers.jpg,3.56,,,Shoppers Value,Published
Honey Made Graham Crackers,4.84,All Groceries,Snack,"Shelf, Stable",Nabisco,14.4 oz,"Crackers, Honey Made Graham",/wp-content/uploads/2017/04/Honey-Maid-Honey-Grahams-Graham-Crackers,4.03,,,Shoppers Value,Published
Graham Crackers,2.18,All Groceries,Snack,"Shelf, Stable",Store Brand,14.4 oz,"Crackers, Graham",/wp-content/uploads/2017/04/Graham-Crackers-store-brand.jpg,1.82,,,Shoppers Value,Published
Campfire Marshmallows,1.6,All Groceries,Snack,"Shelf, Stable",Campfire,10 oz,"Marshmallow, Campfire",/wp-content/uploads/2017/04/Campfire-Marshmallows.jpg,1.33,,,Shoppers Value,Published
Marshmallows,0.97,All Groceries,Snack,"Shelf, Stable",Store Brand,10 oz,"Marshmallow, Store Brand",/wp-content/uploads/2017/04/Marshmallows-Store-Brand.jpg,0.81,,,Shoppers Value,Published
Hershey's Chocolate Bars,5.63,All Groceries,Snack,"Shelf, Stable",Hershey's ,"6-pack, 9.3 oz",Chocolate Bars,/wp-content/uploads/2017/04/Hersheys-Milk-Chocolate-Bars-6-Pack.jpg,4.69,,,Shoppers Value,Published
Vanilla Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Homemade Vanilla,/wp-content/uploads/2017/04/Turkey-Hill-Homemade-Vanilla-Ice-Cream.jpg,4.88,,,Shoppers Value,Published
Chocolate Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Chocolate,/wp-content/uploads/2017/04/Turkey-Hill-Dutch-Chocolate-Ice-Cream.jpg,4.88,,,Shoppers Value,Published
Butter Pecan Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Butter Pecan,/wp-content/uploads/2017/04/Turkey-Hill-Butter-Pecan-Ice-Cream.jpg,4.88,,,Shoppers Value,Published
Cookies & Cream Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Cookies & Cream,/wp-content/uploads/2017/04/Turkey-Hill-Cookies-n-Cream-Ice-Cream.jpg,4.88,,,Shoppers Value,Published
Black Cherry Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Black Cherry,/wp-content/uploads/2017/04/Turkey-Hill-Black-Cherry-Ice-Cream.jpg,4.88,,,Shoppers Value,Published
Rocky Road Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Rocky Road,/wp-content/uploads/2017/04/Turkey-Hill-Rocky-Road-Ice-Cream.jpg,4.88,,,Shoppers Value,Published
Choco Mint Chip Ice Cream,5.86,All Groceries,Dairy,Freezer,Turkey Hill,48 oz,Choco Mint Chip,/wp-content/uploads/2017/04/Turkey-Hill-Choco-Mint-Chip-Ice-Cream.jpg,4.88,,,Shoppers Value,Published
Popsicle,4.92,All Groceries,Snack,Freezer,Popsicle,20 pk,Rainbow flavors,/wp-content/uploads/2017/04/Rainbow-Popsicle-24-Pack.jpg,4.1,,,Shoppers Value,Published
Ice Cream Cones,1.06,All Groceries,Snack,"Shelf, Stable",Store Brand,12 pk,Ice cream Cups/ Cones,/wp-content/uploads/2017/04/Ice-Cream-Cones-12.jpg,0.88,,,Shoppers Value,Published
Ice Pops,1.44,All Groceries,Snack,"Shelf, Stable",Fun Pops,12 pk,Variety Flavor Ices,/wp-content/uploads/2017/04/Fun-Pops-Variety-Flavor-Ices.jpg,1.2,,,Shoppers Value,Published
Charcoal,13.58,All Groceries,Other,"Shelf, Stable",Kingsford,11.6 lb,"Charcoal, Matchlight",/wp-content/uploads/2017/04/Kingsford-Match-Light-Charcoal.jpg,11.32,,,Shoppers Value,Published
Kingsford Lighter Fluid,5.11,All Groceries,Other,"Shelf, Stable",Kingsford,1 qt,Lighter Fluid,/wp-content/uploads/2017/04/Kingsford-Odorless-Charcoal-Lighter-Fluid.jpg,4.26,,,Shoppers Value,Published
Lighter Fluid,3.95,All Groceries,Other,"Shelf, Stable",Store Brand ,1 qt,Lighter Fluid,/wp-content/uploads/2017/04/thumbnail_StoreBrandLIghterFluid.jpg,3.29,,,Shoppers Value,Published
Fire Pit Wood,4.87,All Groceries,Other,"Shelf, Stable",Store Brand ,Bundle,Fire Wood,/wp-content/uploads/2017/04/Firewood-Tall.jpg,4.06,,,Shoppers Value,Published
Advil,5.46,All Groceries,"Medicines, Adult","Shelf, Stable",Advil,24 ct,"Ibuprofen, Coated Tablets",/wp-content/uploads/2017/04/Advil-Ibuprofen-24-Coated-Tablets-200mg.jpg,4.55,,,Shoppers Value,Published
Ibuprofen,1.72,All Groceries,"Medicines, Adult","Shelf, Stable",Store Brand ,100 ct,"Ibuprofen, Coated Tablets",/wp-content/uploads/2017/04/Ibuprofen-100-count---200mg-Tablets.jpg,1.43,,,Shoppers Value,Published
Tylenol,5.15,All Groceries,"Medicines, Adult","Shelf, Stable",Tylenol,24 ct,"Acetaminophen, Extra Strength",/wp-content/uploads/2017/04/Tylenol-Acetaminophen-Extra-Strength-24-Caplets-500mg.jpg,4.29,,,Shoppers Value,Published
Acetaminophen,1.08,All Groceries,"Medicines, Adult","Shelf, Stable",Store Brand ,24 ct,"Acetaminophen, Extra Strength",/wp-content/uploads/2017/04/Equaline-Extra-Strength-Acetaminophen-24-Caplets-500mg.jpg,0.9,,,Shoppers Value,Published
Benadryl,6.47,All Groceries,"Medicines, Adult","Shelf, Stable",Benadryl,24 ct,Allergy Relief,/wp-content/uploads/2017/04/Benadryl-Allergy-Ultratabs-24-tablets.jpg,5.39,,,Shoppers Value,Published
Allergy Relief,1.55,All Groceries,"Medicines, Adult","Shelf, Stable",Store Brand ,14 ct,Allergy Relief (compared to Zyrtec),/wp-content/uploads/2017/04/Equaline-All-Day-Energy-14-Tablets.jpg,1.29,,,Shoppers Value,Published
Sensitive Baby Formula,23.84,All Groceries,Baby,"Shelf, Stable",Similac,12 oz,"Baby Formula, Sensitive",/wp-content/uploads/2017/04/OptiGro-Similac-Sensitive-Infant-Formula-with-Iron,19.87,,,Shoppers Value,Published
Oreo Cookies,5.2,All Groceries,Snack,"Shelf, Stable",Nabisco,14.3 oz,"Cookies, Oreo",/wp-content/uploads/2017/04/Nabisco-Oreo-Chocolate-Sandwich-Cookie.jpg,4.33,,,Shoppers Value,Published
Chocolate Chip Cookies,4.38,All Groceries,Snack,"Shelf, Stable",Nabisco,11.75 oz,"Cookies, Chips Ahoy, Chunky",/wp-content/uploads/2017/04/Chips-Ahoy-Chunky-Chocolate-Chip-Cookies.jpg,3.65,,,Shoppers Value,Published
Nutter Butters,5.41,All Groceries,Snack,"Shelf, Stable",Nabisco,16 oz,"Cookies, Nutter Butter",/wp-content/uploads/2017/04/Nabisco-Nutter-Butter-Peanut-Butter-Sandwich-Cookies.jpg,4.51,,,Shoppers Value,Published
Nilla Wafers,4.84,All Groceries,Snack,"Shelf, Stable",Nabisco,11 oz,"Cookies, Nilla Wafers",/wp-content/uploads/2017/04/Nabisco-Nilla-Wafers.jpg,4.03,,,Shoppers Value,Published
Fudge Brownies,1.84,All Groceries,Snack,"Shelf, Stable",Pillsbury,13 x 9,"Brownies, Chocolate Fudge",/wp-content/uploads/2017/04/Pillsbury-Chocolate-Fudge-brownie-mix.jpg,1.53,,,Shoppers Value,Published
Brownies,1.84,All Groceries,Snack,"Shelf, Stable",Pillsbury,13 x 9,"Brownies, Milk Chocolate",/wp-content/uploads/2017/04/Pillsbury-Milk-Chocolate-brownie-mix.jpg,1.53,,,Shoppers Value,Published
Original Gluten-Free Bread,6.55,All Groceries,Bread,Freezer,Rudi's,12 oz,"Bread, Gluten-Free, Original",/wp-content/uploads/2017/04/Rudis-Gluten-Free-Original-bread.jpg,5.46,,,Shoppers Value,Published
Multigrain Gluten-Free Bread,6.55,All Groceries,Bread,Freezer,Rudi's,13 oz,"Bread, Gluten-Free, Multigrian",/wp-content/uploads/2017/04/Rudis-Gluten-Free-Multigrain-bread.jpg,5.46,,,Shoppers Value,Published
English Muffins,1.24,All Groceries,Bread,Refrigerated,Store Brand ,12 oz,"Bread, English Muffins",/wp-content/uploads/2016/11/english-muffin-store-brand.jpg,1.03,,,Shoppers Value,Published
Potato Hot Dog Buns,3.77,All Groceries,Bread,"Shelf, Perishable",Martin's,8 count,"Bread, Hot Dog Buns, Potato",/wp-content/uploads/2017/04/Martins-Potato-Rolls-Hot-Dog-8-count.jpg,3.14,,,Shoppers Value,Published
Potato Hamburger Buns,3.77,All Groceries,Bread,"Shelf, Perishable",Martin's,8 count,"Bread, Hamburger Buns, Potato",/wp-content/uploads/2017/04/Martins-Potato-Rolls-8-Sandwich-Rolls.jpg,3.14,,,Shoppers Value,Published
Chicken Broth,1.28,All Groceries,canned,"Shelf, Stable",College Inn,14.5 oz,Chicken Broth,/wp-content/uploads/2017/04/College-Inn-Chicken-Broth.jpg,1.07,,,Shoppers Value,Published
Pretzels,3.73,All Groceries,Snack,"Shelf, Stable",Utz,16 oz,"Pretzels, Extra Thin Twists",/wp-content/uploads/2017/04/Utz-Extra-Thins-Pretzels.jpg,3.11,,,Shoppers Value,Published
Gummy Bears,1.31,All Groceries,Snack,"Shelf, Stable",Haribo,5 oz,Gummy Bears,/wp-content/uploads/2017/04/Haribo-Gold-Bears-Gummi-Candy-Original.jpg,1.09,,,Shoppers Value,Published
Trail Mix,3.72,All Groceries,Snack,"Shelf, Stable",Store Brand,9 oz,"Trail Mix, Classic",/wp-content/uploads/2017/04/Essential-Everyday-Classic-Trail-Mix.jpg,3.1,,,Shoppers Value,Published
Mild Cheddar Cracker Cuts,4.09,All Groceries,Dairy,Refrigerated,Crystal Farms,10 oz,"Cheese, Mild Chedder, Cracker Cuts",/wp-content/uploads/2017/04/Crystal-Farms-Cracker-Cuts-Mild-Cheddar-Cheese.jpg,3.41,,,Shoppers Value,Published
Sharp Cheddar Cracker Cuts,4.09,All Groceries,Dairy,Refrigerated,Crystal Farms,10 oz,"Cheese, Sharp Chedder, Cracker Cuts",/wp-content/uploads/2017/04/Crystal-Farms-Cracker-Cuts-Sharp-Cheddar-Cheese.jpg,3.41,,,Shoppers Value,Published
Pepper Jack Cracker Cuts,4.09,All Groceries,Dairy,Refrigerated,Crystal Farms,10 oz,"Cheese, Pepper Jack, Cracker Cuts",/wp-content/uploads/2017/04/Crystal-Farms-Cracker-Cuts-Pepper-Jack-Cheese.jpg,3.41,,,Shoppers Value,Published
Swiss Cheese Cracker Cuts,4.09,All Groceries,Dairy,Refrigerated,Crystal Farms,10 oz,"Cheese, Swiss, Cracker Cuts",/wp-content/uploads/2017/04/Crystal-Farms-Cracker-Cuts-Swiss-Cheese.jpg,3.41,,,Shoppers Value,Published
Sharp Cheddar Cubes,4.24,All Groceries,Dairy,Refrigerated,Kraft,6.4 oz,"Cheddar Cheese, Sharp, Cubed",/wp-content/uploads/2017/04/Kraft-Natural-Cheese-Cubes-Sharp-Cheddar.jpg,3.53,,,Shoppers Value,Published
String Cheese,4.32,All Groceries,Dairy,Refrigerated,Crystal Farms,10 oz,"Cheese, Mozzarela, String",/wp-content/uploads/2017/04/Crystal-Farms-Wisconsin-String-Cheese.jpg,3.6,,,Shoppers Value,Published
Bacon,4.44,All Groceries,Meat,Refrigerated,Kunzler,10 oz,"Bacon, Original",/wp-content/uploads/2017/04/Kunzler-Bacon-1.jpg,3.7,,,Shoppers Value,Published
Siced Roast Beef,5.18,All Groceries,Meat,Refrigerated,Hillshire Farms,7 oz,"Deli Meat, Roast Beef, Sliced",/wp-content/uploads/2017/04/HFRoastBeef.jpg,4.32,,,Shoppers Value,Published
Siced Smoked Turkey,5.29,All Groceries,Meat,Refrigerated,Hillshire Farms,9 oz,"Deli Meat, Smoked Turkey",/wp-content/uploads/2017/04/Hillshire-Farm-Deli-Select-Mesquite-Smoked-Turkey-Breast-Ultra-Thin.jpg,4.41,,,Shoppers Value,Published
Sliced Smoked Ham,5.18,All Groceries,Meat,Refrigerated,Hillshire Farms,9 oz,"Deli Meat, Smoked Ham",/wp-content/uploads/2017/04/HFSmokedHam.gif,4.32,,,Shoppers Value,Published
Sliced Honey Ham,5.18,All Groceries,Meat,Refrigerated,Hillshire Farms,9 oz,"Deli Meat, Honey Ham",/wp-content/uploads/2017/04/Hillshire-Farm-Deli-Select-Honey-Ham-Ultra-Thin.jpg,4.32,,,Shoppers Value,Published
Ground Turkey,3.42,All Groceries,Meat,Freezer,Store Brand,1 lb,"Turkey, Ground, Frozen",/wp-content/uploads/2016/11/ground-turkey.jpg,2.85,,,Shoppers Value,Published
Chicken Breast,3.42,All Groceries,Meat,Regrigerated,Store Brand,"1 lb, approx",Chicken Breast ,/wp-content/uploads/2016/11/chicken-breast-raw.jpg,2.85,,,Shoppers Value,Published
Rotisserie Chicken,7.81,All Groceries,Meat,Refrigerated,Store Brand,Approx 48 oz,"Chicken, Rotisserie",/wp-content/uploads/2017/04/Rotisserie-Chicken.jpg,6.51,,,Shoppers Value,Published
Hot Dogs,3.2,All Groceries,Meat,Regrigerated,Kunzler,16 oz,"Hot Dogs, Regular",/wp-content/uploads/2017/04/Kunzler-Franks.jpg,2.67,,,Shoppers Value,Published
